Protein	S.cerevisiae	A.fumigatus	C.neoformans	C.parapsilosis	F.graminearum	S.bayanus	L.kluyveri	S.mikatae	S.paradoxus	M.oryzae	N.crassa	S.pombe	A.nidulans	C.glabrata	C.albicans	N.castellii	N.discreta	N.tetrasperma	S.kudriavzevii
NP_012066.1	0.030035695001900002	NA	NA	NA	NA	0.00144264933376	0.00655348278421	0.00144264933376	0.030035695001900002	NA	NA	NA	NA	0.0264038235407	NA	0.0497319896026	NA	NA	0.070044526676
NP_013447.1	0.014276452165299998	NA	NA	0.012291030813500001	NA	0.041972117992699995	0.05761656414469999	0.041972117992699995	0.014276452165299998	NA	NA	NA	NA	0.059004224119600004	0.0809145415018	0.08640056960869999	NA	NA	0.00887194035538
NP_014250.1	0.024933330754	NA	NA	0.13074251659299999	NA	0.035626516762	0.0342352613125	0.035626516762	0.024933330754	NA	NA	NA	NA	0.008628868521870002	0.005295463719170001	0.038337954485	NA	NA	0.0260519973639
NP_015409.1	0.0117512793176	NA	NA	0.00211016045401	NA	0.012111539944799998	0.0669147903274	0.012111539944799998	0.0117512793176	NA	NA	NA	NA	0.022865729672599998	0.014085762209999998	0.0210705789422	NA	NA	0.0044596330142
NP_011103.1	0.013473822883600002	NA	NA	0.00345677636214	NA	0.013747494790700001	0.00163480517169	0.013747494790700001	0.013473822883600002	NA	NA	NA	NA	0.0176677322049	0.004896449835479999	0.00956920354016	NA	NA	0.0537421076948
NP_014809.3	0.0153460063218	NA	NA	0.0147703724138	NA	0.132039381243	0.026413755216099996	0.132039381243	0.0153460063218	NA	NA	0.124904611382	NA	0.0394502366289	0.0290378302274	0.018991994576400002	NA	NA	0.0438377965598
NP_013670.1	0.00517479126759	0.0106207582174	0.025906071582	0.0203389941408	0.038713482544699994	0.0207599505632	0.00026846046256499996	0.0207599505632	0.00517479126759	0.00246264216841	0.12209924768899999	NA	0.0197623016184	0.0163704106738	0.020531788080000002	0.0200472102595	0.12209924768899999	0.12209924768899999	0.0351019182453
NP_013995.1	0.021664103346700003	0.0069851365157400005	0.0157457663029	0.025269716655	0.039924352547400004	0.039221024904699996	0.012043167497700001	0.039221024904699996	0.021664103346700003	0.00687206610936	0.13530923550899998	0.022395635844999998	0.00791215286399	0.012414894512200002	0.0186910434141	0.0117049423206	0.13530923550899998	0.13530923550899998	0.0319014743692
NP_010154.1	0.0152930315995	NA	NA	NA	NA	0.0418158991398	0.012699284842299999	0.0418158991398	0.0152930315995	NA	NA	NA	NA	0.019476469152400002	NA	0.033101076368	NA	NA	0.047541179599
NP_014235.1	0.0405195464565	NA	NA	NA	NA	0.0440666836101	0.0161637894605	0.0440666836101	0.0405195464565	NA	NA	NA	NA	0.011385588163700002	NA	0.00795795553337	NA	NA	0.037363171536
NP_010105.1	0.0168702692093	NA	NA	NA	NA	0.009937490248469998	0.0503451284571	0.009937490248469998	0.0168702692093	NA	NA	NA	NA	0.008639043350020002	NA	0.0327436668335	NA	NA	0.000333737297043
NP_010101.1	0.00844944749631	NA	NA	NA	NA	0.013929496389899999	0.0102856145265	0.013929496389899999	0.00844944749631	NA	NA	NA	NA	0.0045783009522	NA	0.0128706231286	NA	NA	0.00481348346321
NP_013595.1	0.0368357654514	NA	NA	NA	NA	0.0629350122229	0.024293331098599998	0.0629350122229	0.0368357654514	NA	NA	NA	NA	0.0259976523895	NA	0.0380568540935	NA	NA	0.00323449315792
